backend,model,no,sektor,kl,sub_indikator,gold,pred,benar,status,confidence,summary_pred,source_url_pred,url_dari_search,n_search,latency_s,in_tok,out_tok,queries,error,summary_gold
serper,watsonx-qwen3-30b-a3b-instruct-2507,1,Kesehatan,KEMENTERIAN KESEHATAN,KP 02.12.08 - Kabupaten/kota yang mendeklarasikan 5 Pilar STBM,True,False,False,OK,tinggi,"Tidak ditemukan bukti pelaksanaan kegiatan pemerintah untuk indikator KP 02.12.08 (Kabupaten/kota yang mendeklarasikan 5 Pilar STBM) pada tahun 2025 dalam dokumen resmi Kementerian Kesehatan, LAKIP 2025, RKP 2025, atau sumber resmi lainnya. Beberapa hasil pencarian menunjukkan kegiatan deklarasi STBM di tingkat kabupaten/kota, tetapi tidak disertai keterangan tahun 2025 atau kaitan langsung dengan program nasional Kementerian Kesehatan untuk mencapai target 30 kab/kota. Kegiatan yang muncul bersifat lokal dan tidak terintegrasi dalam pelaporan kinerja tahun 2025.",,False,3,13.11,7203,380,laporan kinerja 2025 KEMENTERIAN KESEHATAN STBM 5 pilar deklarasi | LAKIP 2025 KEMENTERIAN KESEHATAN STBM 5 pilar [site:kemkes.go.id] | RKP 2025 KEMENTERIAN KESEHATAN STBM 5 pilar deklarasi [site:bappenas.go.id],,"Program berjalan, ditandai dengan penetapan alokasi anggaran daerah untuk survei verifikasi 5 pilar dan deklarasi level provinsi/kabupaten/kota."
serper,watsonx-qwen3-30b-a3b-instruct-2507,2,Pertahanan,KEMENTERIAN LUAR NEGERI,KP 02.09.03 - Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional,True,True,True,OK,tinggi,"Program dilaksanakan pada 2025, ditandai dengan adanya Indikator Kinerja Utama (IKU) dalam Rencana Strategis Kementerian Luar Negeri 2025-2029 yang secara eksplisit mencakup 'Persentase Kebijakan di Bidang Kerja Sama Pembangunan Internasional Indonesia yang telah Sesuai dengan Prioritas Nasional'. Dokumen Renstra KSPI 2025-2029 yang diterbitkan oleh Kemlu.go.id menegaskan bahwa indikator ini menjadi bagian dari perencanaan strategis, menunjukkan bahwa kegiatan sinkronisasi kebijakan telah dimulai dan dilaksanakan sepanjang tahun 2025. Meskipun belum ada laporan capaian numerik dalam LKj 2025 yang tersedia, keberadaan indikator dalam dokumen perencanaan strategis yang berlaku tahun 2025 menunjukkan pelaksanaan kegiatan teknis dan perencanaan aktif.",https://kemlu.go.id/files/repositori/83699/177219501969a18ccb68e5e_Renstra__KSPI_2025_sd_2029_fin.pdf,True,3,13.06,7628,532,laporan kinerja 2025 KEMENTERIAN LUAR NEGERI persentase kebijakan kerja sama pembangunan internasional sesuai prioritas nasional | rencana strategis KEMENTERIAN LUAR NEGERI 2025-2029 persentase kebijakan kerja sama pembangunan internasional sesuai prioritas nasional [site:kemlu.go.id] | Laporan Kinerja KEMENTERIAN LUAR NEGERI 2025 persentase kebijakan kerja sama pembangunan internasional sesuai prioritas nasional [site:kemlu.go.id],,"Program berjalan, ditandai dengan pelaksanaan sejumlah aktivitas konkret kerja sama pembangunan internasional oleh Kemlu sepanjang Tahun 2025, seperti pertemuan bilateral dan kesepakatan kerja sama dengan negara mitra di kawasan Pasifik, penyaluran bantuan pangan dan kemanusiaan ke Palestina yang diumumkan langsung oleh Menlu/Wamenlu, serta penyusunan kebijakan turunan (Grand Design dan aturan hibah) yang diselaraskan dengan RPJMN 2025-2029. Aktivitas ini tercatat lewat rilis resmi Kemlu maupun Sekretariat Negara, meskipun angka persentase realisasi kebijakan sesuai prioritas nasional untuk Tahun 2025 belum dipublikasikan secara spesifik."
serper,watsonx-qwen3-30b-a3b-instruct-2507,3,Industri,KEMENTERIAN LUAR NEGERI,"KP 02.09.04 - Persentase keberhasilan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi terutama pada sektor prioritas",True,True,True,OK,tinggi,"Program diplomasi ekonomi Kementerian Luar Negeri berjalan pada 2025, ditandai dengan pelaksanaan kegiatan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi di sektor prioritas, yang dilaporkan dalam Laporan Kinerja Direktorat Perdagangan, Perindustrian, Komoditas, dan Kekayaan Intelektual (LKj Dit PI) 2025. Indikator ini tercantum dalam Tabel III.1 Capaian IK S1.1, menunjukkan bahwa kegiatan teknis dan pelaporan berlangsung sepanjang tahun 2025.",https://kemlu.go.id/files/repositori/83703/177803416769faa5f717ed8_LKj_PI_2025.pdf,True,3,11.97,7422,433,laporan kinerja 2025 KEMENTERIAN LUAR NEGERI promosi ekonomi norma internasional kesepakatan dagang diplomasi ekonomi sektor prioritas | KEMENTERIAN LUAR NEGERI Laporan Kinerja 2025 persentase keberhasilan diplomasi ekonomi sektor prioritas [site:kemlu.go.id] | KEMENTERIAN LUAR NEGERI LKj 2025 persentase keberhasilan promosi pembentukan norma kesepakatan diplomasi ekonomi sektor prioritas [site:kemlu.go.id],,"Program berjalan, ditandai dengan penetapan oleh Kemenlu melalui Ditjen Hubungan Ekonomi dan Kerja Sama Pembangunan (HEKSP) terkait indikator ini sebagai indikator kinerja utama dan melaporkan capaiannya dalam Laporan Kinerja Tahun 2025. Realisasi tercatat 93,75 persen terhadap target 80 persen, dengan capaian 117,19 persen, berasal dari 7 norma dan 4 kesepakatan yang terealisasi dari target 8 norma dan 4 kesepakatan. Pelaksanaannya didukung partisipasi Indonesia pada berbagai forum seperti Sidang UNIDO ke-21, KTM UNCTAD ke-16, WTO CTE, WIPO SCCR-47, dan Codex Alimentarius sepanjang 2025."
serper,watsonx-qwen3-30b-a3b-instruct-2507,4,Sosial,KEMENTERIAN LUAR NEGERI,KP 07.16.02 - Indeks Diplomasi Perlindungan WNI di Luar Negeri,True,False,False,OK,tinggi,"Tidak ditemukan bukti pelaksanaan fisik atau capaian indikator indeks diplomasi perlindungan WNI di luar negeri pada tahun 2025. Hanya ditemukan dokumen perencanaan strategis (Renstra) tahun 2025-2029 yang menyebutkan indikator tersebut sebagai target, namun tidak ada laporan kinerja atau data capaian tahun 2025 yang disajikan. Laporan Kinerja 2025 yang tersedia tidak menyertakan nilai indeks tersebut. Tidak ada siaran pers atau dokumen resmi lain yang melaporkan realisasi capaian pada 2025.",https://kemlu.go.id/files/repositori/65391/17715620046997e414de875_Rencana_Strategis_Direktorat_Konsuler_Tahun_2025_2029.pdf,True,3,13.63,7358,420,laporan kinerja 2025 KEMENTERIAN LUAR NEGERI indeks diplomasi perlindungan WNI | indeks diplomasi perlindungan WNI di luar negeri 2025 KEMENTERIAN LUAR NEGERI [site:kemlu.go.id] | capaian indeks diplomasi perlindungan WNI di luar negeri 2025 KEMENTERIAN LUAR NEGERI [site:kemlu.go.id],,"Program berjalan, ditandai dengan terlaksananya ketiga jalur pembentuk indeks ini sepanjang Tahun 2025 sesuai Manual Indikator Kinerja Dit. PWNI 2025, yaitu diplomasi di forum internasional, pembentukan kebijakan nasional, dan kampanye penyadaran publik. Di jalur internasional, ASEAN mengadopsi Deklarasi tentang Pemberantasan Kejahatan Siber dan Penipuan Daring pada September 2025, yang disambut Indonesia dalam pertemuan Dewan Masyarakat Politik-Keamanan ASEAN pada rangkaian KTT ASEAN ke-47 di Kuala Lumpur, 26-28 Oktober 2025. Di jalur operasional, Pemerintah memulangkan 554 WNI korban TPPO penipuan daring dari Myawaddy, Myanmar, dalam dua tahap pada 18 dan 19 Maret 2025, dengan pengawalan Tim Pelindungan WNI Kemlu bersama KBRI Bangkok dan Yangon serta Hubinter Polri, dan secara agregat 27.768 WNI dipulangkan dari berbagai situasi krisis sepanjang 2025. Di jalur kebijakan nasional, terbit Kepmenlu Nomor 15 Tahun 2025 tentang Penetapan Perwakilan Pelindungan Terpadu serta Perjanjian Kerja Sama Kemlu dengan BPJS Ketenagakerjaan pada 22 Januari 2025. Layanan Kampanye Penyadaran Publik Dit. PWNI juga terdaftar aktif dengan standar pelayanan resmi di SIPPN Kementerian PANRB."
serper,watsonx-qwen3-30b-a3b-instruct-2507,5,Pertahanan,KEMENTERIAN PERTAHANAN,KP 02.01.01 - Persentase pemenuhan alutsista,True,False,False,OK,tinggi,"Tidak ditemukan bukti pelaksanaan fisik atau capaian kinerja pemenuhan alutsista pada tahun 2025 dalam dokumen resmi Kementerian Pertahanan. Hanya ditemukan dokumen rencana, anggaran, dan peraturan (seperti RAPBN 2025 dan Permenhan tentang Postur Pertahanan), tetapi tidak ada laporan kinerja tahun 2025 yang melaporkan capaian aktual atau pelaksanaan kegiatan teknis di lapangan. Dokumen yang tersedia bersifat perencanaan atau anggaran, bukan pelaksanaan.",,False,3,13.1,6169,333,laporan kinerja 2025 KEMENTERIAN PERTAHANAN pemenuhan alutsista | laporan kinerja 2025 KEMENTERIAN PERTAHANAN modernisasi senjata [site:ppid.kemhan.go.id] | siaran pers resmi KEMENTERIAN PERTAHANAN 2025 pemenuhan alutsista [site:kemhan.go.id],,"Program berjalan, ditandai dengan pelaksanaan sejumlah kegiatan modernisasi dan pemenuhan alutsista oleh Kemhan bersama TNI sepanjang Tahun 2025, seperti uji coba alutsista produksi dalam negeri, kelanjutan program alih teknologi untuk pengadaan kapal selam bersama mitra asing, hingga penambahan alutsista baru untuk memperkuat matra udara, yang dipublikasikan lewat rilis resmi di laman kemhan.go.id."
serper,watsonx-qwen3-30b-a3b-instruct-2507,6,Pangan,BADAN KARANTINA INDONESIA,KP 02.10.13 - Persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK),True,True,True,OK,tinggi,"Program pemerintah untuk meningkatkan persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK) berjalan pada tahun 2025, ditandai dengan pelaksanaan pemeriksaan, pengawasan, dan tindak lanjut terhadap temuan HPHK di berbagai balai karantina hewan, serta pencapaian indikator kinerja yang tercantum dalam Rencana Strategis (Renstra) 2025-2029 dan Laporan Kinerja Balai Karantina Hewan, Ikan dan Tumbuhan yang dirilis oleh Badan Karantina Indonesia. Target 85% pada 2025 telah dimasukkan dalam rencana strategis dan terdapat bukti pelaksanaan teknis di lapangan.",https://karantinaindonesia.go.id/repository/main-web/performance-reports/01KWVXPA2M437ESZR3Q96G01ET.pdf,True,3,11.61,7064,439,laporan kinerja 2025 badan karantina indonesia persentase wilayah terkendali hama penyakit hewan karantina | laporan kinerja 2025 badan karantina indonesia persentase wilayah terkendali HPHK [site:karantinaindonesia.go.id] | Laporan Kinerja 2025 Badan Karantina Indonesia persentase wilayah terkendali HPHK capaian [site:karantinaindonesia.go.id],,"Program berjalan, ditandai dengan terlaksananya kegiatan pemantauan daerah sebar HPHK sepanjang Tahun 2025 oleh unit pelaksana teknis Badan Karantina Indonesia di berbagai wilayah, yang dituntaskan melalui seminar hasil pemantauan tingkat regional dan nasional bersama dinas peternakan provinsi/kabupaten-kota, akademisi, dan pemangku kepentingan terkait (misalnya di Sumatera Barat dan regional Sulawesi). Pelaksanaan ini juga terkonfirmasi dari dokumen anggaran (RKA/DIPA) yang memuat komponen persiapan, pelaksanaan, dan seminar pemantauan daerah sebar HPHK, serta dari Laporan Kinerja Tahun 2025 UPT Barantin yang dipublikasikan di laman resmi dan PPID Barantin, yang memuat indikator temuan dan tindak lanjut HPHK. Angka nasional persentase wilayah terkendali dari HPHK Tahun 2025 sendiri belum ditemukan dipublikasikan."
serper,watsonx-qwen3-30b-a3b-instruct-2507,7,Infrastruktur,KEMENTERIAN PEKERJAAN UMUM,PP 02.12 - Efisiensi pemanfaatan air irigasi,True,True,True,OK,tinggi,"Kementerian Pekerjaan Umum menargetkan efisiensi pemanfaatan air irigasi sebesar 0,34 USD/m3 pada tahun 2025 dalam rapat koordinasi rencana kerja 2025 dan dokumen renstra, serta melaporkan capaian pembangunan jaringan irigasi seluas 13.000 hektar, menunjukkan pelaksanaan fisik dan kegiatan teknis berjalan sepanjang 2025.",https://pu.go.id/berita/rapat-koordinasi-rencana-kerja-tahun-2025-kementerian-pu-fokus-pada-efisiensi-infrastruktur-untuk-dukung-pertumbuhan-ekonomi,True,3,11.04,7265,375,"laporan kinerja 2025 Kementerian Pekerjaan Umum efisiensi pemanfaatan air irigasi | efisiensi pemanfaatan air irigasi Kementerian Pekerjaan Umum 2025 [site:pu.go.id] | efisiensi pemanfaatan air irigasi 0,34 USD/m3 Kementerian Pekerjaan Umum 2025 [site:pu.go.id]",,"Program berjalan, ditandai dengan terealisasinya pembangunan dan rehabilitasi jaringan irigasi oleh Kementerian PU sepanjang Tahun Anggaran 2025 dengan luas 589.605,80 hektare, serta terkonfirmasinya pelaksanaan pekerjaan fisik rehabilitasi jaringan irigasi di daerah melalui publikasi resmi Kementerian PU sepanjang 2025 (misalnya rehabilitasi tahap II DI Tingal di Temanggung yang progres fisiknya mencapai 60% per akhir September 2025). Target angka indikator sendiri, yaitu 0,34 USD/m³, memang tercantum sebagai sasaran kerja Kementerian PU tahun 2025 di bidang sumber daya air. Angka realisasi efisiensi pemanfaatan air irigasi tahun 2025 dalam satuan USD/m³ belum dipublikasikan, karena Laporan Kinerja Ditjen SDA terbaru yang terbit masih edisi Tahun 2024."
serper,watsonx-qwen3-30b-a3b-instruct-2507,11,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.17 - Produksi vanili,False,True,False,OK,tinggi,"Program pengembangan vanili dilaksanakan oleh Kementerian Pertanian melalui Ditjen Perkebunan pada tahun 2025, ditandai dengan realisasi produksi vanili sebesar 1.625 ton, melampaui target 1.582 ton. Capaian ini tercantum dalam Laporan Kinerja (LAKIN) Ditjen Perkebunan 2025 yang diterbitkan awal 2026, mencerminkan pelaksanaan kegiatan teknis dan fisik di lapangan sepanjang tahun 2025.",https://ditjenbun.pertanian.go.id/template/uploads/2026/03/ISI-LAKIN-SKRETARIAT-DITJENBUN-2025-COVER-1.pdf,True,3,10.94,6945,349,laporan kinerja 2025 KEMENTAN produksi vanili | produksi vanili Kementan 2025 capaian [site:ditjenbun.pertanian.go.id] | realisasi produksi vanili 2025 Kementan [site:ditjenbun.pertanian.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi vanili berjalan pada Tahun 2025. Realisasi kegiatan pengembangan kawasan tanaman semusim dan rempah Direktorat Jenderal Perkebunan Tahun 2025 diarahkan ke pala, kakao, dan tebu, tanpa vanili. Kegiatan pemerintah bertanggal 2025 yang menyinggung vanili hanya ditemukan pada balai perlindungan perkebunan tingkat provinsi, berupa pelatihan agens pengendali hayati yang sasarannya komoditas lain, sehingga tidak dapat dihitung sebagai intervensi terhadap indikator ini. Angka realisasi produksi vanili Tahun 2025 juga belum dipublikasikan."
serper,watsonx-qwen3-30b-a3b-instruct-2507,12,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.18 - Persentase produksi komoditas pertanian organik terhadap produksi total komoditas pertanian,False,False,True,OK,tinggi,"Tidak ditemukan bukti pelaksanaan fisik atau capaian produksi pertanian organik pada tahun 2025 dalam dokumen resmi Kementerian Pertanian. Hanya ditemukan dokumen perencanaan, petunjuk teknis, dan kebijakan terkait program pertanian organik, namun tidak ada laporan kinerja atau data realisasi produksi yang menunjukkan pelaksanaan kegiatan di lapangan sepanjang 2025.",,False,3,9.82,6975,277,laporan kinerja 2025 KEMENTAN produksi komoditas pertanian organik | LAKIP 2025 KEMENTAN produksi organik pertanian [site:pertanian.go.id] | program pertanian organik 2025 KEMENTAN capaian produksi [site:psp.pertanian.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi komoditas pertanian organik berjalan pada Tahun 2025. Kegiatan yang ditemukan masih pada tahap penyiapan kebijakan, yaitu diskusi kelompok terarah oleh Badan Perakitan dan Modernisasi Pertanian Kementerian Pertanian pada November 2025, yang justru menyimpulkan perlunya pembentukan Otoritas Kompeten Pangan Organik, reorientasi kebijakan, dan revisi peraturan menteri agar selaras dengan SNI 6729:2025 dan RPJMN 2025-2029. Angka persentase produksi pertanian organik Tahun 2025 belum dipublikasikan."
serper,watsonx-qwen3-30b-a3b-instruct-2507,44,Sosial,KEMENTERIAN SOSIAL,KP 06.03.02 - Jumlah penerima manfaat Kartu Usaha Afirmatif yang berusaha atau bekerja sebagai buruh/karyawan,False,False,True,OK,tinggi,"Tidak ditemukan bukti pelaksanaan program Kartu Usaha Afirmatif untuk penerima manfaat yang berusaha atau bekerja sebagai buruh/karyawan pada tahun 2025. Tidak ada laporan kinerja 2025, siaran pers, atau dokumen resmi dari Kementerian Sosial yang mencatat pelaksanaan fisik, capaian, atau kegiatan teknis terkait indikator ini. Hanya ditemukan dokumen perencanaan seperti Renstra 2025-2029 dan dokumen rencana aksi yang tidak menyebutkan pelaksanaan nyata di 2025.",,False,3,9.03,5300,333,laporan kinerja 2025 KEMENTERIAN SOSIAL usaha afirmatif penerima manfaat | LAKIP 2025 KEMENTERIAN SOSIAL usaha afirmatif penerima manfaat [site:kemensos.go.id] | Kartu Usaha Afirmatif penerima manfaat 2025 KEMENTERIAN SOSIAL [site:kemensos.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti pelaksanaan pada 2025. Saat ini, masih berlangsungnya tahap perencanaan dan penyiapan implementasi hingga awal 2026. Rapat Tingkat Menteri yang dipimpin Menko Pemberdayaan Masyarakat pada 26 September 2025 masih membahas perencanaan Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif sebagai bagian dari Program Hasil Terbaik Cepat, dengan Kemensos menegaskan basis data DTSEN dan Kementerian Koperasi dan UMKM menyiapkan platform SAPA UMKM. Pada 12 Februari 2026, BPKP masih melakukan kajian dan koordinasi lintas perangkat daerah untuk mendukung kesiapan implementasi Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif di daerah. Kartu Usaha Afirmatif juga baru ditetapkan sebagai salah satu Proyek Strategis Nasional baru dalam RKP 2026. Tidak ditemukan publikasi resmi yang menunjukkan adanya penerima manfaat KUA pada 2025, sehingga target 1.000.000 jiwa tahun 2025 belum terverifikasi terlaksana."
